cityName,population,coords,countryName,continent,officialLanguage,currency
N'Djamena,1092066,Point(15.05 12.11),Chad,Africa,French,Central African CFA franc
Pointe-Noire,1420612,Point(11.850277777 -4.7975),Republic of the Congo,Africa,French,Central African CFA franc
Yaoundé,2440462,Point(11.518055555 3.857777777),Cameroon,Africa,French,Central African CFA franc
Mbuji-Mayi,2201000,Point(23.5967 -6.1209),Democratic Republic of the Congo,Africa,French,Congolese franc
Lubumbashi,1786397,Point(27.482777777 -11.664166666),Democratic Republic of the Congo,Africa,French,Congolese franc
Douala,2768436,Point(9.7 4.05),Cameroon,Africa,French,Central African CFA franc
Tshikapa,1006387,Point(20.8 -6.416666666),Democratic Republic of the Congo,Africa,French,Congolese franc
Garoua,1750000,Point(13.4 9.3),Cameroon,Africa,French,Central African CFA franc
Brazzaville,2145783,Point(15.271111111 -4.269444444),Republic of the Congo,Africa,French,Central African CFA franc
Antananarivo,1275207,Point(47.525 -18.91),Madagascar,Africa,French,Malagasy ariary
Kisangani,1366000,Point(25.191111111 0.515277777),Democratic Republic of the Congo,Africa,French,Congolese franc
Kinshasa,14565700,Point(15.311944444 -4.321944444),Democratic Republic of the Congo,Africa,French,Congolese franc
Mbuji-Mayi,1680991,Point(23.5967 -6.1209),Democratic Republic of the Congo,Africa,French,Congolese franc
Conakry,1667864,Point(-13.712222222 9.509166666),Guinea,Africa,French,Guinean franc
Mbuji-Mayi,1193891,Point(23.5967 -6.1209),Democratic Republic of the Congo,Africa,French,Congolese franc
Kananga,1971704,Point(22.416666666 -5.896111111),Democratic Republic of the Congo,Africa,French,Congolese franc
Mbuji-Mayi,2892000,Point(23.5967 -6.1209),Democratic Republic of the Congo,Africa,French,Congolese franc
Mbuji-Mayi,1559073,Point(23.5967 -6.1209),Democratic Republic of the Congo,Africa,French,Congolese franc
Mbuji-Mayi,1213726,Point(23.5967 -6.1209),Democratic Republic of the Congo,Africa,French,Congolese franc
Hamburg,1910160,Point(10.0 53.55),Germany,Europe,German,Euro
Berlin,3782202,Point(13.383333333 52.516666666),Germany,Europe,German,Euro
Havana,2141652,Point(-82.358888888 23.136666666),Cuba,North America,Spanish,Cuban peso
Havana,2492618,Point(-82.358888888 23.136666666),Cuba,North America,Spanish,Cuban peso
Havana,2089532,Point(-82.358888888 23.136666666),Cuba,North America,Spanish,Cuban peso
Vienna,2028289,Point(16.3725 48.208333333),Austria,Europe,German,Euro
Monterrey,1142952,Point(-100.318055555 25.684444444),Mexico,North America,Spanish,Mexican peso
Guadalajara,1385621,Point(-103.342222222 20.676388888),Mexico,North America,Spanish,Mexican peso
Tijuana,1964788,Point(-117.037155 32.536447),Mexico,North America,Spanish,Mexican peso
Mexico City,9209944,Point(-99.13589 19.353773),Mexico,North America,Spanish,Mexican peso
Zapopan,1257547,Point(-103.391111111 20.720833333),Mexico,North America,Spanish,Mexican peso
Madrid,3506730,Point(-3.703333333 40.416944444),Spain,Europe,Spanish,Euro
Cali,2234400,Point(-76.5225 3.437222222),Colombia,South America,Spanish,Colombian peso
Rosario,1037710,Point(-60.639444444 -32.9575),Argentina,South America,Spanish,Argentine peso
Santo Domingo,1029110,Point(-71.65 -33.633333333),Chile,South America,Spanish,Dominican peso
Tegucigalpa,1055729,Point(-87.204705555 14.105783333),Honduras,North America,Spanish,Honduran lempira
Santo Domingo,2201941,Point(-69.936111111 18.4625),Dominican Republic,North America,Spanish,Dominican peso
Medellín,2529403,Point(-75.5675845 6.250200154),Colombia,South America,Spanish,Colombian peso
Bogotá,8034649,Point(-74.08175 4.60971),Colombia,South America,Spanish,Colombian peso
Buenos Aires,3121707,Point(-58.381944444 -34.599722222),Argentina,South America,Spanish,Argentine peso
Casablanca,3218036,Point(-71.416666666 -33.316666666),Chile,South America,Spanish,Moroccan dirham
Santiago,6269384,Point(-72.443676 -12.6175153),Peru,South America,Spanish,Chilean peso
Santiago,6257516,Point(-70.65 -33.4375),Chile,South America,Spanish,Chilean peso
Rosario,1193605,Point(-60.639444444 -32.9575),Argentina,South America,Spanish,Argentine peso
Cali,2471474,Point(-76.519722222 3.44),Colombia,South America,Spanish,Colombian peso
Santiago de los Caballeros,1343423,Point(-70.7 19.45),Dominican Republic,North America,Spanish,Dominican peso
Santa Cruz de la Sierra,3151676,Point(-63.1975 -17.789166666),Bolivia,South America,Spanish,Bolivian boliviano
Barranquilla,1326588,Point(-74.801944444 10.983333333),Colombia,South America,Spanish,Colombian peso
Barcelona,1731649,Point(2.176944444 41.3825),Spain,Europe,Spanish,Euro
Shymkent,1184113,Point(69.6 42.3),Kazakhstan,Asia,Russian,Kazakhstani tenge
Shymkent,1184113,Point(69.6 42.3),Kazakhstan,Europe,Russian,Kazakhstani tenge
Minsk,1995091,Point(27.561837 53.902246),Belarus,Europe,Russian,Belarusian ruble
Almaty,2228675,Point(76.915 43.24),Kazakhstan,Asia,Russian,Kazakhstani tenge
Almaty,2228675,Point(76.915 43.24),Kazakhstan,Europe,Russian,Kazakhstani tenge
Astana,1078362,Point(71.433333333 51.133333333),Kazakhstan,Asia,Russian,Kazakhstani tenge
Astana,1078362,Point(71.433333333 51.133333333),Kazakhstan,Europe,Russian,Kazakhstani tenge
Shymkent,1191877,Point(69.6 42.3),Kazakhstan,Asia,Russian,Kazakhstani tenge
Shymkent,1191877,Point(69.6 42.3),Kazakhstan,Europe,Russian,Kazakhstani tenge
Sofia,1205548,Point(23.321726 42.697886),Bulgaria,Europe,Bulgarian,Bulgarian lev
Rome,2748109,Point(12.482777777 41.893055555),Italy,Europe,Italian,Euro
Milan,1354196,Point(9.19 45.466944444),Italy,Europe,Italian,Euro
Prague,1397880,Point(14.421388888 50.0875),Czech Republic,Europe,Czech,Czech koruna
Yaoundé,2440462,Point(11.518055555 3.857777777),Cameroon,Africa,English,Central African CFA franc
Abuja,1693400,Point(7.491388888 9.055555555),Nigeria,Africa,English,Nigerian naira
Ogbomosho,1032000,Point(4.25 8.133333333),Nigeria,Africa,English,Nigerian naira
Onitsha,1483000,Point(6.783333333 6.166666666),Nigeria,Africa,English,Nigerian naira
Douala,2768436,Point(9.7 4.05),Cameroon,Africa,English,Central African CFA franc
Garoua,1750000,Point(13.4 9.3),Cameroon,Africa,English,Central African CFA franc
Lagos,15070000,Point(3.393611111 6.456111111),Nigeria,Africa,English,Nigerian naira
Monrovia,1021762,Point(-10.804722222 6.310555555),Liberia,Africa,English,Liberian dollar
Ibadan,2559853,Point(3.905833333 7.3775),Nigeria,Africa,English,Nigerian naira
Port Harcourt,3325000,Point(7.016316 4.765466),Nigeria,Africa,English,Nigerian naira
Port Harcourt,3480000,Point(7.016316 4.765466),Nigeria,Africa,English,Nigerian naira
Ibadan,2550593,Point(3.905833333 7.3775),Nigeria,Africa,English,Nigerian naira
Shymkent,1184113,Point(69.6 42.3),Kazakhstan,Asia,Kazakh,Kazakhstani tenge
Shymkent,1184113,Point(69.6 42.3),Kazakhstan,Europe,Kazakh,Kazakhstani tenge
Almaty,2228675,Point(76.915 43.24),Kazakhstan,Asia,Kazakh,Kazakhstani tenge
Almaty,2228675,Point(76.915 43.24),Kazakhstan,Europe,Kazakh,Kazakhstani tenge
Baku,2300500,Point(49.835183333 40.366655555),Azerbaijan,Asia,Azerbaijani,Azerbaijani manat
Baku,2300500,Point(49.835183333 40.366655555),Azerbaijan,Asia,Azerbaijani Sign Language,Azerbaijani manat
Astana,1078362,Point(71.433333333 51.133333333),Kazakhstan,Asia,Kazakh,Kazakhstani tenge
Astana,1078362,Point(71.433333333 51.133333333),Kazakhstan,Europe,Kazakh,Kazakhstani tenge
Shymkent,1191877,Point(69.6 42.3),Kazakhstan,Asia,Kazakh,Kazakhstani tenge
Shymkent,1191877,Point(69.6 42.3),Kazakhstan,Europe,Kazakh,Kazakhstani tenge
Minsk,1995091,Point(27.561837 53.902246),Belarus,Europe,Belarusian,Belarusian ruble
South Tangerang,1644899,Point(106.718055555 -6.288888888),Indonesia,Asia,Indonesian,Indonesian rupiah
Malang,1175282,Point(112.632727716 -7.96893041),Indonesia,Asia,Indonesian,Indonesian rupiah
Surabaya,3009286,Point(112.737767222 -7.246283611),Indonesia,Asia,Indonesian,Indonesian rupiah
Tangerang,2237006,Point(106.640277777 -6.170277777),Indonesia,Asia,Indonesian,Indonesian rupiah
Bandung,2875673,Point(107.607083055 -6.921845833),Indonesia,Asia,Indonesian,Indonesian rupiah
Makassar,1338663,Point(119.413611111 -5.133055555),Indonesia,Asia,Indonesian,Indonesian rupiah
Palembang,1535952,Point(104.764444444 -2.983333333),Indonesia,Asia,Indonesian,Indonesian rupiah
Batam,1196396,Point(104.053055555 1.13),Indonesia,Asia,Indonesian,Indonesian rupiah
Medan,2109330,Point(98.673888888 3.589444444),Indonesia,Asia,Indonesian,Indonesian rupiah
Depok,2330333,Point(106.8173077 -6.405031),Indonesia,Asia,Indonesian,Indonesian rupiah
Bekasi,2381053,Point(107.0 -6.233333333),Indonesia,Asia,Indonesian,Indonesian rupiah
Bandar Lampung,1166761,Point(105.2625 -5.429444444),Indonesia,Asia,Indonesian,Indonesian rupiah
Semarang,1621384,Point(110.4225 -6.99),Indonesia,Asia,Indonesian,Indonesian rupiah
Surat,5935000,Point(72.84 21.205),India,Asia,Hindi,Indian rupee
Jodhpur,1033918,Point(73.027777777 26.294444444),India,Asia,Hindi,Indian rupee
Mumbai,15414288,Point(72.8775 19.075833333),India,Asia,Hindi,Indian rupee
Vadodara,3100260,Point(73.2 22.3),India,Asia,Hindi,Indian rupee
Rajkot,2043000,Point(70.798363888 22.296908333),India,Asia,Hindi,Indian rupee
